POSTCODE;LAT;LON
2061;52,4077053;4,6213361
2063;52,4145116;4,6777872
2064;52,4132960;4,6913422
2065;52,3880779;4,6869013
2071;52,4343712;4,6425850
2082;52,4198344;4,6311811
2101;52,3528267;4,6196310
2102;52,3548488;4,6302570
2103;52,3426134;4,6263646
2104;52,3321824;4,6131812
2105;52,3478937;4,6059679
2106;52,3594635;4,6101214
2111;52,3651273;4,5956281
2114;52,3229553;4,5789239
2116;52,3656425;4,5734503
2121;52,3218366;4,5977814
2131;52,3087593;4,6846468
2132;52,2987269;4,6974796
2133;52,3102211;4,6710063
2134;52,3129043;4,6510640
2135;52,2988645;4,6651497
2136;52,3150533;4,6207502
2141;52,3551246;4,6830898
2142;52,3354032;4,6435437
2143;52,3610946;4,7263542
2144;52,2877126;4,5964663
2151;52,2664029;4,6180088
2152;52,2750074;4,6278594
2153;52,2618409;4,6405004
2154;52,2411190;4,6823389
2155;52,2333018;4,6735360
2156;52,2232444;4,6478092
2157;52,2330747;4,5944469
2158;52,2221249;4,5609379
2159;52,2138448;4,5630155
2161;52,2575545;4,5564272
2162;52,2467540;4,5599708
2163;52,2664117;4,5609465
2165;52,2570625;4,5745107
2171;52,2240494;4,5169672
2172;52,2232780;4,5281952
2181;52,2960057;4,5878291
2182;52,2901841;4,5789281
2191;52,3026246;4,5443065
2201;52,2324008;4,4444233
2202;52,2448136;4,4361067
2203;52,2414875;4,4533296
2204;52,2764474;4,4810157
2211;52,2607807;4,4948880
2212;52,2697587;4,4925533
2215;52,2247505;4,4892492
2216;52,2295717;4,4890198
2221;52,2087753;4,4209999
2222;52,2027699;4,4349848
2223;52,1917632;4,4237861
2224;52,1986383;4,4140007
2225;52,2031673;4,3993813
2231;52,1911836;4,4418544
2232;52,1944844;4,4518947
2235;52,1785878;4,4359717
2236;52,1752857;4,4234287
2241;52,1478061;4,4099068
2242;52,1452044;4,3958294
2243;52,1273249;4,3732598
2244;52,1124031;4,3556395
2245;52,1187545;4,3847782
2251;52,1241086;4,4520665
2252;52,1246199;4,4397552
2253;52,1397624;4,4576175
2254;52,1297902;4,4374015
2261;52,0973464;4,3899065
2262;52,0918993;4,3888607
2263;52,0977805;4,4013452
2264;52,0895895;4,3980031
2265;52,0859793;4,4015684
2266;52,0856453;4,4235153
2267;52,0592277;4,3577887
2271;52,0726135;4,3698116
2272;52,0847490;4,3754545
2273;52,0796585;4,3590480
2274;52,0745899;4,3508602
2275;52,0630516;4,3516126
2281;52,0577289;4,3415210
2282;52,0523331;4,3359424
2283;52,0439215;4,3243801
2284;52,0399593;4,3148153
2285;52,0361074;4,3041722
2286;52,0268968;4,3150978
